4;Здание общежития;656037, Алтайский край, г. Барнаул,  ул. Полярная, д. 34, корп. 1;22:63:040112:218;1973;1973;0;0;0;1971-01;1973-01;1;0;0;0;Блочная;Смешанное;Общедомовые;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;1
4;Здание общежития;656037, Алтайский край, г. Барнаул,  ул. 80 Гвардейской Дивизии, д. 2, корп. 3;22:63:040112:294;1973;1973;0;0;0;1971-01;1973-01;1;0;0;0;Блочная;Смешанное;Общедомовые;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;1
4;Здание общежития студенческого;656031, Алтайский край, г. Барнаул,  ул. Крупской, д. 103;22:63:040435:85;1981;1981;0;0;0;1979-01;1981-01;1;0;24,4;0;Блочная;Смешанное;Общедомовые;0;0;0;1;0;0;0;0;24,4;0;0;0;1;1;10;1
4;Общежитие Алтайского государственного университета на земельном участке по адресу: г. Барнаул, ул. Червонная,5;656011, Алтайский край, г. Барнаул,  ул. Червонная, д. 5;22:63:040124:1216;2017;2018;467172,6;467172,6;20576,4;2015-04;2018-05;1;0;35,1;30;Блочная;Смешанное;Общедомовые;1;8;6;7;127;3;275,9;0;35,1;0;0;0;1;1;10;1
4;Общежитие;656023, Алтайский край, г. Барнаул, ул. Эмилии Алексеевой, д.6;22:63:020314:37;1955;1955;0;0;0;1953-01;1955-01;1;0;0;0;Коридорная;Смешанное;Общедомовые;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;1
5;Общежитие №1;Россия, 675000, Дальневосточный ФО, Амурская область, Благовещенский, Город, Благовещенск, Институтская, д. 22;28:01:020403:172;1980;1980;1662,5;1662,5;0;1979-05;1980-05;1;0;0;0;Коридорная;Смешанное;Общедомовые;0;0;0;1;0;0;46,1;40,3;0;46,8;0;13,1;0;1;9;9
5;Общежитие;Россия, 675000, Дальневосточный ФО, Амурская область, Благовещенский, Город, Благовещенск, ул. Институтская, д. 26/2;28:01:020403:146;1995;0;3515,66;0;3515,66;1992-05;1995-05;1;0;0;2;Коридорная;Смешанное;Общедомовые;1;0;1;1;1;1;0;18;53;0;18;18;0;1;9;9
5;Общежитие;Россия, 675000, Дальневосточный ФО, Амурская область, Благовещенский, Город, Благовещенск, ул. Институтская, д. 26;28:01:020403:173;1991;1991;1245,9;0;1245,9;1990-05;1991-05;1;0;0;0;Коридорная;Смешанное;Общедомовые;0;0;0;1;0;0;57,9;37,1;0;110,4;0;0;0;1;9;9
5;Общежитие;Россия, 675000, Дальневосточный ФО, Амурская область, Благовещенский, Город, Благовещенск, ул. Институтская, д. 26/1;28:01:020403:145;2003;2,003;17993,3;5000;12993,3;2000-05;2003-05;1;0;0;0;Квартирная;Смешанное;Общедомовые;0;0;0;1;0;0;0;0;0;0;0;0;0;1;9;9
5;Общежитие №3;Россия, 675000, Дальневосточный ФО, Амурская область, Благовещенский, Город, Благовещенск, ул. Калинина, 75;28:01:130153:216;1970;1970;0;0;0;1969-05;1970-05;1;0;0;0;Коридорная;Смешанное;Общедомовые;0;0;0;1;0;0;0;54;0;0;0;37,2;0;1;9;9
