26;3;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Алтайский государственный педагогический университет""";Здание общежития №3;Россия, Алтайский кр., г. Барнаул, пр-кт Социалистический, д. 126а;22:63:040412:153;1964;1964;41;22-22-01/195/2006-314;22АД   519989;8386,6;8386,6;0;0001-01;0001-01;1;0;83,4;0;0;0;0;309;0;0;0;0;0;2553,8;7,65;Новые;Новые;Новые;0;0;0;1;0;0;14,98;0;434,5;83,4;0;0;0;0;0;0;766,26;0;31,38;0;766,26;0;31,38;0;766,26;0;31,38;0;0;0;0;0;0;766,26;31,38;0;1;0;0;2449;0;8386,6
2488;3;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Алтайский государственный педагогический университет""";Общежитие;Россия, Алтайский кр., г. Барнаул, пр-кт Красноармейский, д. 101, пом. Н10;22:63:040435:1867;2009;2009;41;22-22-01/102/2013-590;22АД   534097;48244,2;48244,2;8839,8;1993-06;2009-12;1;0;0;0;0;0;0;193;0;79;0;0;0;2408,6;21,12;Новые;Новые;Новые;0;0;0;1;0;0;31,17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1401,86;62,76;0;1;0;0;1145;0;48244,2
27;4;"Федеральное государственное бюджетное образовательное учреждение высшего образования &#34;Алтайский государственный технический университет им. И.И. Ползунова&#34;";Общежитие № 1 с пристроенным общежитием № 6 (корпус 2);Алтайский край, г. Барнаул, пр-кт Комсомольский, д. 71;22:63:050111:79;1964;1964;41;22-01/63-88/2003-181 от 10.07.2003;0097714;0;0;0;1961-03;1964-01;1;0;0;0;0;0;0;580;0;19;0;0;0;3914,2;6,3;Новые;Новые;Новые;1;0;0;1;0;0;12,1;0;154;0;48;120;0;0;0;48;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;1;0;116;3745,1;12;27894
28;4;"Федеральное государственное бюджетное образовательное учреждение высшего образования &#34;Алтайский государственный технический университет им. И.И. Ползунова&#34;";Здание общежитие № 2;Алтайский край, г. Барнаул, пр-кт Комсомольский, д. 69;22:63:050113:96;1963;1963;41;22-01/63-88/2003-183;0096645;0;0;0;1961-04;1963-01;1;0;0;0;0;0;0;245;0;6;0;0;0;1773;6,3;Новые;Новые;Новые;1;0;0;1;0;0;16,5;0;68;0;36;72;0;0;0;48;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;1;0;37;2247,8;12;7110
29;4;"Федеральное государственное бюджетное образовательное учреждение высшего образования &#34;Алтайский государственный технический университет им. И.И. Ползунова&#34;";Здание общежития № 3;Алтайский край, г. Барнаул, пр-кт Комсомольский, д. 67;22:63:050113:112;1960;0;41;22-01/63-88/2003-185 от 10.07.2003;0097310;0;0;0;1958-06;1960-01;1;0;0;0;0;0;0;284;0;15;0;0;0;1671,5;6,2;Новые;Новые;Новые;1;0;0;1;0;0;14,6;0;126;0;128;120;0;0;0;48;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;1;0;93;2403,3;12;8420
30;4;"Федеральное государственное бюджетное образовательное учреждение высшего образования &#34;Алтайский государственный технический университет им. И.И. Ползунова&#34;";Здание общежития № 4;Алтайский край, г. Барнаул, пер. Некрасова, д. 41;22:63:050107:44;1972;0;41;22-01/63-88/2003-188 от 10.07.2003;0097509;0;0;0;1970-04;1972-01;1;0;162,6;0;0;0;0;530;0;15;0;0;0;3483,3;6,5;Новые;Новые;Новые;1;0;0;1;0;0;13,9;0;66;162,6;48;96;0;0;0;48;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;1;0;94;3865,9;12;15939
31;4;"Федеральное государственное бюджетное образовательное учреждение высшего образования &#34;Алтайский государственный технический университет им. И.И. Ползунова&#34;";Общежитие №5;Алтайский край, г. Барнаул, пр-кт Комсомольский, д. 65а;22:63:050113:111;1978;0;41;22-01/63-88/2003-189 от 10.07.2003;0097494;0;0;0;1976-02;1978-01;1;0;0;0;0;0;0;315;0;10;0;0;0;1869,2;6,2;Новые;Новые;Новые;1;0;0;1;0;0;21,4;0;48;0;0;86;0;0;0;48;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;1;0;93;4484,6;12;28406
32;4;"Федеральное государственное бюджетное образовательное учреждение высшего образования &#34;Алтайский государственный технический университет им. И.И. Ползунова&#34;";Здание общежития;Алтайский край, г. Барнаул, пр-кт Комсомольский, д. 69б;22:63:020642:91;2007;0;41;22-22-01/024/2008-286 от 15.02.2008;0095696;0;0;0;2002-05;2007-01;1;0;0;0;0;0;0;275;0;18;0;4;0;1622,1;6,6;Новые;Новые;Новые;1;0;1;1;1;1;17,5;0;48;0;24;84;0;0;0;48;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;1;0;112;2788,9;12;48311
33;4;"Федеральное государственное бюджетное образовательное учреждение высшего образования &#34;Алтайский государственный технический университет им. И.И. Ползунова&#34;";Общежитие;Алтайский край, г. Бийск, ул. Героя Советского Трофимова, д. 45 Союза;22:65:011702:334;1984;0;41;22-01/6535/2004-169 от 24.06.2004;0028168;0;0;0;1982-01;1984-01;1;0;0;0;0;0;0;220;0;63;0;0;0;1644,6;6,2;Новые;Новые;Новые;1;0;0;1;0;0;15,2;0;68;0;0;96;0;0;0;48;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;1;0;390,6;2826,1;12;11780
34;4;"Федеральное государственное бюджетное образовательное учреждение высшего образования &#34;Алтайский государственный технический университет им. И.И. Ползунова&#34;";Общежитие;Алтайский край, г. Рубцовск, ул. Комсомольская, д. 146;22:70:020906:8;1957;0;41;22-01/70-68/2004-120 от 22.12.2004;0050326;0;0;0;1955-07;1957-01;1;422,4;0;0;0;0;0;105;0;46;0;0;0;678,2;6,2;Новые;Новые;Новые;1;0;0;1;0;0;17,5;422,4;60;0;0;84;0;0;0;48;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;863;0;31;208;1;0;285,2;1749,8;12;2916
