2051;2;2307;1;19;3;0;78;0;0;66;1;0;0;0;7;0;0;4
2052;2;2307;1;19;3;8112;1;0;0;0;0;0;0;0;0;0;0;0
2053;2;2307;1;19;3;8156;0;0;0;1;0;0;0;0;0;0;0;0
2054;2;2307;1;19;3;8268;0;0;0;1;0;0;0;0;0;0;0;0
2055;2;2307;1;19;3;8276;0;0;0;1;0;0;0;0;0;0;0;0
2056;2;2307;1;19;3;8398;75;0;0;17;1;0;0;0;6;0;0;1
2057;2;2307;1;19;3;8417;1;0;0;0;0;0;0;0;1;0;0;0
2058;2;2307;1;19;3;8762;1;0;0;2;0;0;0;0;0;0;0;0
2059;2;2307;1;19;3;8795;0;0;0;41;0;0;0;0;0;0;0;3
2060;2;2307;1;19;3;8860;0;0;0;3;0;0;0;0;0;0;0;0
2062;2;2307;1;19;5;0;1;0;0;0;0;0;0;0;0;0;0;0
2069;2;2307;3;19;5;0;0;0;0;0;0;0;0;0;0;0;0;0
2073;2;2307;5;19;3;0;23;0;0;102;0;0;0;0;25;0;0;11
2074;2;2307;5;19;3;8031;0;0;0;1;0;0;0;0;0;0;0;0
2075;2;2307;5;19;3;8156;0;0;0;1;0;0;0;0;0;0;0;2
2076;2;2307;5;19;3;8398;22;0;0;29;0;0;0;0;25;0;0;7
2077;2;2307;5;19;3;8762;1;0;0;4;0;0;0;0;0;0;0;1
2078;2;2307;5;19;3;8860;0;0;0;67;0;0;0;0;0;0;0;1
2080;2;2307;5;19;5;0;0;0;0;0;0;0;0;0;0;0;0;0
3017;3;2307;1;19;3;0;381;0;0;70;25;0;0;14;14;0;0;5
3018;3;2307;1;19;3;8156;0;0;0;17;0;0;0;0;0;0;0;0
3019;3;2307;1;19;3;8170;0;0;0;1;0;0;0;0;0;0;0;0
3020;3;2307;1;19;3;8398;314;0;0;25;22;0;0;12;11;0;0;0
3021;3;2307;1;19;3;8410;0;0;0;1;0;0;0;0;0;0;0;0
3022;3;2307;1;19;3;8417;10;0;0;0;1;0;0;0;0;0;0;1
3023;3;2307;1;19;3;8496;0;0;0;5;0;0;0;0;0;0;0;0
3024;3;2307;1;19;3;8504;0;0;0;1;0;0;0;0;0;0;0;1
3025;3;2307;1;19;3;8566;0;0;0;2;0;0;0;0;0;0;0;1
3026;3;2307;1;19;3;8704;0;0;0;2;0;0;0;0;0;0;0;0
3027;3;2307;1;19;3;8762;57;0;0;4;2;0;0;0;3;0;0;1
3028;3;2307;1;19;3;8795;0;0;0;2;0;0;0;0;0;0;0;1
