id;id_givts;name
152;206;Пущинский государственный естественно-научный институт
153;207;Пятигорский государственный университет
154;209;Российский экономический университет им. Г.В. Плеханова
155;210;Российский государственный геологоразведочный университет имени Серго Орджоникидзе
156;211;Российский государственный гидрометеорологический университет
157;212;Российский государственный гуманитарный университет
158;213;Российский государственный педагогический университет им. А. И. Герцена
159;214;Российский государственный профессионально-педагогический университет
160;215;Российский государственный социальный университет
161;217;Балтийский федеральный университет имени Иммануила Канта
162;219;Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина
163;220;Российский государственный университет туризма и сервиса
164;222;Российский университет дружбы народов
165;223;Российский химико-технологический университет имени Д. И. Менделеева
167;228;Ростовский государственный экономический университет (РИНХ)
168;229;Рыбинский государственный авиационный технический университет имени П. А. Соловьева
169;230;Рязанский государственный радиотехнический университет имени В.Ф. Уткина
170;231;Рязанский государственный университет имени С.А. Есенина
171;232;Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова
172;233;Санкт-Петербургская государственная художественно-промышленная академия имени А.Л. Штиглица
173;234;Национальный исследовательский университет ИТМО
174;236;Санкт-Петербургский государственный архитектурно-строительный университет
175;237;Санкт-Петербургский горный университет
176;239;Санкт-Петербургский государственный морской технический университет
177;240;Санкт-Петербургский политехнический университет Петра Великого
179;242;Санкт-Петербургский государственный технологический институт (технический университет)
180;243;Санкт-Петербургский государственный университет аэрокосмического приборостроения
181;245;Санкт-Петербургский государственный университет промышленных технологий и дизайна
182;247;Санкт-Петербургский государственный электротехнический университет «ЛЭТИ» им. В.И. Ульянова (Ленина)
185;251;Самарский национальный исследовательский университет имени академика С.П. Королева
186;252;Самарский государственный технический университет
188;254;Самарский государственный экономический университет
189;255;Саратовская государственная юридическая академия
190;257;Саратовский государственный технический университет имени Гагарина Ю.А.
191;258;Саратовский национальный исследовательский государственный университет имени  Н.Г. Чернышевского
192;260;Сахалинский государственный университет
193;261;Северо-Восточный государственный университет
194;266;Северо-Кавказский федеральный университет
195;269;Сибирский государственный автомобильно-дорожный университет (СибАДИ)
196;270;Сибирский государственный университет геосистем и технологий
197;271;Сибирский государственный университет науки и технологий имени академика М.Ф. Решетнева
198;272;Сибирский государственный индустриальный университет
200;276;Смоленский государственный университет
201;278;Сочинский государственный университет
202;281;Сыктывкарский государственный университет имени Питирима Сорокина
203;283;Тамбовский государственный технический университет
204;284;Тамбовский государственный университет имени Г.Р. Державина
205;286;Тверской государственный технический университет
206;287;Тверской государственный университет
207;288;Тихоокеанский государственный университет
208;291;Тольяттинский государственный университет
209;292;Томский государственный архитектурно-строительный университет
210;293;Томский государственный педагогический университет
211;294;Национальный исследовательский Томский государственный университет
212;295;Томский государственный университет систем управления и радиоэлектроники
213;296;Национальный исследовательский Томский политехнический университет
214;297;Тульский государственный педагогический университет им. Л.Н. Толстого
215;298;Тульский государственный университет
216;299;Тувинский государственный университет
218;301;Тюменский индустриальный университет
219;302;Тюменский государственный университет
220;303;Удмуртский государственный университет
221;304;Ульяновский государственный педагогический университет имени И.Н. Ульянова
222;305;Ульяновский государственный технический университет
223;306;Ульяновский государственный университет
224;308;Уральский государственный архитектурно-художественный университет
225;309;Уральский государственный юридический университет
226;310;Уральский государственный горный университет
227;311;Уральский государственный лесотехнический университет
228;312;Уральский государственный педагогический университет
229;313;Уральский федеральный университет имени первого Президента России Б.Н. Ельцина
230;315;Уральский государственный экономический университет
232;318;Уфимский государственный авиационный технический университет
233;319;Уфимский государственный нефтяной технический университет
234;320;Ухтинский государственный технический университет
235;321;Хабаровский государственный университет экономики и права
236;322;Хакасский государственный университет им. Н.Ф. Катанова
237;323;Южно-Уральский государственный гуманитарно-педагогический университет
238;324;Челябинский государственный университет
239;325;Череповецкий государственный университет
240;326;Чеченский государственный педагогический университет
241;327;Чеченский государственный университет
242;328;Забайкальский государственный университет
243;329;Чувашский государственный педагогический университет им. И.Я. Яковлева
244;330;Чувашский государственный университет имени И.Н. Ульянова
245;331;Шадринский государственный педагогический университет
246;334;Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова
247;336;Южно-Уральский государственный университет
248;337;Южный федеральный университет
249;340;Ярославский государственный педагогический университет им. К.Д. Ушинского
250;341;Ярославский государственный технический университет
251;342;Ярославский государственный университет им. П.Г. Демидова
313;1507;Сибирский федеральный университет
316;1519;Казанский (Приволжский) федеральный университет
317;1520;Дальневосточный федеральный университет
